"lineage","yearmth","count"
"JN.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","5,61,290,554,205,29"
"JN.1.4","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","0,4,56,88,75,5"
"BA.2.86.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","33,45,71,29,3,0"
"JN.1.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","1,9,59,75,11,1"
"EG.5.1.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","113,32,11,1,0,0"
"HK.3","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","52,35,30,6,1,1"
"JG.3","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","56,32,18,12,2,0"
"HV.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","28,27,41,14,3,0"
"EG.5.1.3","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","84,17,5,0,1,0"
"XBB.1.16.15","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","71,23,6,0,1,0"
"JN.1.7","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","0,0,2,15,64,8"
"JD.1.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","34,21,25,8,1,0"
"JN.3","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","21,25,28,5,3,0"
"JN.2","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","19,19,21,13,6,0"
"EG.5.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","41,8,4,5,3,0"
"FL.1.5.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","43,14,3,0,0,0"
"XBB.1.16.11","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","46,4,8,0,0,0"
"JN.1.32","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","0,0,5,24,16,5"
"JN.1.4.5","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","0,0,7,20,19,3"
"GE.1","2023-10,2023-11,2023-12,2024-01,2024-02,2024-03","48,2,1,0,0,0"